CodEmpresa;NumPedido;Data;DataPrevEntrega;NomeFantasia;CodProduto;Descricao;QtdePedida;QtdeAtendida;QtdePendente;;
2;750;19/01/2023;26/01/2023;AQ;FMF-022;CABO TAMPA TRAS. AMAROK D/E;30;0;30;;
2;750;19/01/2023;26/01/2023;AQ;FMF-006;CABO DA TAMPA TRASEIRA CORSA 95 ED.;300;0;300;;
2;750;19/01/2023;26/01/2023;AQ;FMF-026;CABO TAMPA TRASEIRA HILUX APÓS 05;50;0;50;;
2;750;19/01/2023;26/01/2023;AQ;FMF-027;CABO TAMPA TRASEIRA FRONTIER 2/4 PTS APÓS 07 D/E;20;0;20;;
2;750;19/01/2023;26/01/2023;AQ;FMF-003;CABO DA TAMPA TRASEIRA FIORINO 89 ED;200;0;200;;
2;750;19/01/2023;26/01/2023;AQ;FMF-025;CABO TAMPA TRASEIRA FRONTIER ATÉ 07 D/E;10;0;10;;
2;812;17/03/2023;22/03/2023;CS PECAS PARA V;FMF-1004A;CABO DE ABERT CAPO GOL SAVEIRO VOYAGE PARATY C/ AL;500;0;500;;
2;783;15/02/2023;17/02/2023;GUERRIERIPARTS;FMF-013;CABO DA TAMPA TRASEIRA S10 ESQ. - TODOS;500;0;500;;
2;783;15/02/2023;17/02/2023;GUERRIERIPARTS;FMF-034;CABO DA TAMPA TRASEIRA  STRADA G5 2014 ED;500;0;500;;
2;783;15/02/2023;17/02/2023;GUERRIERIPARTS;FMF-006;CABO DA TAMPA TRASEIRA CORSA 95 ED.;40;0;40;;
2;774;09/02/2023;13/02/2023;IKS;FS-021;SUPORTE DO CABO;700;427;273;;
2;813;17/03/2023;20/03/2023;IMO;FS-030;EQUALIZADOR;200;0;200;;
2;813;17/03/2023;20/03/2023;IMO;FMF-022;CABO TAMPA TRAS. AMAROK D/E;10;0;10;;
2;813;17/03/2023;20/03/2023;IMO;FMF-016;CABO DA TAMPA TRASEIRA MONTANA DIR/ESQ - TODOS;20;0;20;;
2;813;17/03/2023;20/03/2023;IMO;FMF-005;CABO DA TAMPA TRASEIRA CHEVY 84 Á 94;10;0;10;;
